x,y,z
-7.144482387205317,-3.9601291965085412,29.311605605051263
12.666964116295764,9.040033835305694,10.825540293815928
-8.516464139078357,8.727409463252993,16.744169188598253
-8.839327353751788,-5.914079361302026,22.49255690923377
-2.818760456750891,-7.1835885857202815,14.316604043464851
5.277093269389693,1.0061063133719983,40.392181081696975
9.808768941433042,-13.41135205701093,6.185191208252167
6.262170332611128,5.297445283033287,38.68564165262711
-7.614166906935406,8.36040517444614,34.23210274688227
4.1548251589724785,-6.965457926886455,16.04931335280084
-0.9617508390632775,2.7956588586476023,49.82913153661733
8.190516580691977,1.1451013283342728,39.55828099566737
